#,station,stationTamil,line,direction,sequence,platform,level,type,isTerminal,duration,terminalStation,terminalStationTamil,id
96,Koyambedu,கோயம்பேடு,Inter,onward,10,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Koyambedu - P2 - L1 - Inter
97,Thirumangalam,திருமங்கலம்,Inter,onward,11,P2,B1,train,FALSE,4,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Thirumangalam - P2 - B1 - Inter
98,Anna Nagar Tower,அண்ணா நகர் பூங்கா கோபுரம்,Inter,onward,12,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Anna Nagar Tower - P2 - B1 - Inter
99,Anna Nagar East,அண்ணாநகர் கிழக்கு,Inter,onward,13,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Anna Nagar East - P2 - B1 - Inter
100,Shenoy Nagar,செனாய் நகர்,Inter,onward,14,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Shenoy Nagar - P2 - B1 - Inter
101,Pachaiyappa's College,பச்சையப்பன் கல்லூரி,Inter,onward,15,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Pachaiyappa's College - P2 - B1 - Inter
102,Kilpauk,கீழ்பாக்கம்,Inter,onward,16,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Kilpauk - P2 - B1 - Inter
103,Nehru Park,நேரு பூங்கா,Inter,onward,17,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Nehru Park - P2 - B1 - Inter
104,Egmore,எழும்பூர்,Inter,onward,18,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Egmore - P2 - B1 - Inter
105,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Inter,onward,19,P1,B1,train,TRUE,4,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Puratchi Thalaivar Dr. MG Ramachandran Central Metro - P1 - B1 - Inter
106,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Inter,return,1,P1,B1,train,TRUE,,Chennai Airport,சென்னை விமான நிலையம்,Puratchi Thalaivar Dr. MG Ramachandran Central Metro - P1 - B1 - Inter
107,Egmore,எழும்பூர்,Inter,return,2,P1,B1,train,FALSE,4,Chennai Airport,சென்னை விமான நிலையம்,Egmore - P1 - B1 - Inter
108,Nehru Park,நேரு பூங்கா,Inter,return,3,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Nehru Park - P1 - B1 - Inter
109,Kilpauk,கீழ்பாக்கம்,Inter,return,4,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Kilpauk - P1 - B1 - Inter
110,Pachaiyappa's College,பச்சையப்பன் கல்லூரி,Inter,return,5,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Pachaiyappa's College - P1 - B1 - Inter
111,Shenoy Nagar,செனாய் நகர்,Inter,return,6,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Shenoy Nagar - P1 - B1 - Inter
112,Anna Nagar East,அண்ணாநகர் கிழக்கு,Inter,return,7,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Anna Nagar East - P1 - B1 - Inter
113,Anna Nagar Tower,அண்ணா நகர் பூங்கா கோபுரம்,Inter,return,8,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Anna Nagar Tower - P1 - B1 - Inter
114,Thirumangalam,திருமங்கலம்,Inter,return,9,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Thirumangalam - P1 - B1 - Inter
115,Koyambedu,கோயம்பேடு,Inter,return,10,P1,L1,train,FALSE,4,Chennai Airport,சென்னை விமான நிலையம்,Koyambedu - P1 - L1 - Inter
